reportperiod,revenue,opinc,netinc,dps,netmargin,pe,cash_and_sti,equity,receivables,debtc,debt,pb,ncfo,ncfi,ncff,fcf,pfcf,shares,marketcap
2016-03-31,1957736000,49453000,27658000,0,1.4%,345.669,2072471000,2317233000,0,0,2372218000,18.886,-228590000,4263000,14907000,-260222000,-43.090,437993000,43762743223
2015-12-31,1823333000,59894000,43178000,0,2.4%,398.600,2310715000,2223426000,0,0,2371362000,21.986,-244745000,-40561000,-17458000,-278398000,-53.210,438277000,48884672381
2015-09-30,1738355000,73641000,29432000,0,1.7%,270.096,2609642000,2167318000,0,0,2400000000,20.293,-195969000,-47479000,72754000,-248256000,-61.290,437606000,43980738752
2015-06-30,1644694000,74835000,26335000,0,1.6%,206.667,2796758000,2032075000,0,0,2400000000,19.598,-181343000,-48330000,62547000,-228667000,-73.300,436097000,39824176454
2015-03-31,1573129000,97456000,23696000,0,1.5%,106.197,2957708000,1909214000,0,0,2400000000,13.204,-127382000,-42822000,1522434000,-163324000,-84.180,433809000,25208945789
2014-12-31,1484728000,65046000,83371000,0,5.6%,77.140,1608496000,1857708000,0,0,885849000,11.079,-38461000,-51141000,24391000,-77317000,-160.750,432527000,20580765530
2014-09-30,1409432000,110407000,59295000,0,4.2%,116.938,1666819000,1724874000,0,0,900000000,15.718,-37439000,-20411000,30662000,-74001000,-569.340,432742000,27111864148
2014-06-30,1340407000,129600000,71018000,0,5.3%,129.221,1714365000,1609705000,0,0,900000000,16.407,56024000,-28953000,28473000,15174000,759.450,431441000,26409712042
2014-03-31,1270089000,97595000,53115000,0,4.2%,129.301,1668243000,1478358000,0,0,900000000,14.241,36359000,57639000,458186000,8111000,669.800,430836000,21053941289
2013-12-31,1175230000,82288000,48421000,0,4.1%,194.096,1200405000,1333561000,0,0,500000000,16.360,41445000,64622000,59928000,3096000,-981.020,429170000,21816943490
2013-09-30,1105999000,57120000,31822000,0,2.9%,253.474,1134987000,1204370000,0,0,500000000,15.128,34693000,-13669000,45795000,8394000,-231.110,426930000,18219424061
2013-06-30,1069372000,57117000,29471000,0,2.8%,248.291,1080110000,1105622000,0,0,500000000,10.719,33943000,-127685000,48959000,11832000,-108.190,424130000,11851434005
2013-03-31,1023961000,31822000,2689000,0,0.3%,433.918,1025872000,812919000,0,0,700000000,13.038,-12250000,-179236000,321582000,-45561000,-93.510,421022000,10598445327
2012-12-31,945239000,19638000,7897000,0,0.8%,299.846,748078000,744673000,0,0,400000000,6.906,-14005000,-67820000,1832000,-53499000,-76.800,413903000,5142960715
2012-09-30,905089000,16135000,7675000,0,0.8%,67.979,798355000,716840000,0,0,400000000,4.218,-2925000,-30449000,-158000,-22319000,166.130,411103000,3023285441
2012-06-30,889163000,16154000,6164000,0,0.7%,38.304,813343000,688226000,0,0,400000000,5.524,19407000,-10654000,-117000,8036000,68.950,411663000,3801987989
2012-03-31,869791000,-1935000,-4584000,0,-0.5%,39.523,804526000,663402000,0,0,400000000,9.610,19109000,-135817000,4032000,815000,60.250,388192000,6375359425
2011-12-31,875575000,61872000,35219000,0,4.0%,16.088,797811000,642810000,0,0,400000000,5.660,65466000,-115609000,398997000,31666000,19.890,388164000,3638008465
2011-09-30,821839000,96842000,62460000,0,7.6%,25.003,365772000,388352000,0,2259000,234659000,15.323,49531000,-41581000,-23958000,14625000,29.670,377090000,5950780584
2011-06-30,788610000,115114000,68214000,0,8.6%,64.617,376407000,334034000,0,2199000,235185000,41.302,86392000,-34949000,-26655000,58701000,72.250,377363000,13796257878
2011-03-31,718553000,102240000,60233000,0,8.4%,66.607,342721000,275722000,0,2141000,235705000,45.612,116323000,-73675000,-86728000,77884000,77.330,379722000,12576335904
2010-12-31,595922000,78453000,47095000,0,7.9%,57.081,350387000,290164000,0,0,200000000,31.643,96717000,-58183000,42857000,49378000,77.380,379351000,9181641872
2010-09-30,553219000,69501000,37967000,0,6.9%,58.688,256813000,191975000,0,2027000,236686000,44.227,42227000,-5606000,-30840000,4985000,96.060,377517000,8490401009
2010-06-30,519819000,77342000,43519000,0,8.4%,41.494,279085000,176640000,0,1971000,237156000,32.146,60252000,-11467000,-21319000,30390000,52.190,380268000,5678250546
2010-03-31,493665000,58345000,32272000,0,6.5%,31.387,266330000,146735000,0,1917000,237621000,26.903,77205000,-40825000,-90743000,33910000,37.700,383425000,3947542961
2009-12-31,444542000,53349000,30913000,0,7.0%,25.982,320242000,199143000,0,1410000,237982000,15.116,105817000,-153252000,125942000,19106000,34.970,387681000,3010266012
2009-09-30,423120000,49337000,30141000,0,7.1%,24.618,155462000,232202000,0,1342000,38282000,11.416,78311000,15590000,-125655000,25389000,22.500,405566000,2650884069
2009-06-30,408509000,52782000,32443000,0,7.9%,24.362,254969000,324371000,0,1275000,38576000,7.353,75302000,-43749000,-59213000,26304000,20.110,417620000,2385228747
2009-03-31,394098000,36471000,22363000,0,5.7%,27.364,286489000,346312000,0,1215000,38871000,7.273,65633000,-64668000,-25715000,15088000,23.770,424963000,2518731744
2008-12-31,359595000,37921000,22732000,0,6.3%,21.121,297271000,347155000,0,1152000,39140000,5.051,92100000,-57498000,-6245000,51029000,18.520,422590000,1753619279
